"Year","January","February","March","April","May","June","July","August","September","October","November","December"
1792,3.198,2.788,1.989,1.662,1.084,1.203,0.935,0.999,1.76,1.345,2.496,2.361
1793,2.809,3.365,2.327,2.114,1.164,1.222,2.151,1.993,1.534,1.808,3.569,2.419
1794,3.069,5.336,2.02,1.349,1.007,1.188,1.656,0.896,1.727,1.384,2.554,2.001
1795,2.361,3.133,1.919,1.657,2.334,1.596,1.208,1.801,1.227,1.476,3.276,2.295
1796,2.868,2.596,2.03,1.451,1.02,2.325,1.17,2.118,2.379,1.449,1.962,2.703
1797,4.061,2.773,2.577,2.45,1.458,1.221,1.584,1.332,1.29,1.328,1.683,1.883
1798,2.039,2.347,2.145,1.626,1.961,0.994,1.047,1.895,2.43,2.106,2.385,2.4
1799,2.097,2.529,2.004,2.106,1.473,1.595,1.316,0.977,1.078,1.353,1.529,2.643
1800,2.141,3.318,2.446,1.487,1.077,1.259,1.081,0.835,1.123,1.352,1.683,2.04
1801,1.845,2.376,1.468,1.278,1.021,1.388,2.26,1.048,1.557,2.437,1.61,2.105
1802,2.232,2.112,2.296,2.941,1.6,1.671,1.012,0.854,1.167,1.215,2.254,2.006
1803,1.994,2.403,2.412,2.007,1.339,0.916,1.053,0.986,1.394,2.873,1.657,1.985
1804,2.967,2.318,2.261,2.129,1.234,1.217,1.729,1.213,1.602,1.27,2.682,2.022
1805,2.201,2.294,1.645,1.998,1.138,1.856,1.229,1.452,1.622,1.675,2.14,1.899
1806,1.924,2.268,1.691,2.601,1.46,1.025,1.285,1.182,1.461,1.132,1.868,1.642
1807,2.547,2.723,2.796,1.692,1.031,1.375,1.631,1.333,1.479,1.004,1.723,1.287
1808,4.114,2.165,3.223,1.787,1.751,1.548,1.479,1.144,1.643,2.248,1.97,2.243
1809,2.801,2.351,2.834,2.455,1.344,1.53,2.139,1.308,1.4,2.899,2.578,1.564
1810,2.047,2.406,3.228,1.967,1.532,1.865,1.787,1.24,1.201,1.22,2.578,2.044
1811,2.075,2.292,2.016,1.393,1.418,1.972,2.47,1.22,1.627,2.976,1.864,1.934
1812,4.002,3.056,2.413,3.47,1.308,1.085,1.477,1.491,2.934,1.415,2.77,2.694
1813,2.485,2.364,2.253,1.923,3.281,1.62,1.23,1.132,1.825,1.941,1.444,2.216
1814,2.362,2.09,2.379,1.634,2.376,1.144,2.038,1.676,1.447,1.954,4.511,3.658
1815,1.758,4.198,2.298,2.174,2.154,1.441,1.563,1.454,1.412,1.957,2.178,2.133
1816,2.787,2.346,2.019,2.677,1.905,1.027,1.742,1.19,1.405,3.766,4.497,1.675
1817,3.564,2.227,2.013,1.782,1.537,2.232,1.173,1.354,1.955,1.674,1.692,2.379
1818,2.436,1.968,1.858,4.01,2.533,1.924,1.735,1.127,1.717,2.074,3.543,1.424
1819,1.812,3.146,3.492,1.537,1.987,1.94,1.369,1.508,1.306,1.577,1.64,1.837
1820,4.289,2.035,1.678,1.503,1.138,1.114,1.482,1.292,1.807,1.554,0.972,1.269
1821,1.989,3.124,1.337,1.359,1.057,1.319,1.895,1.204,1.199,1.055,1.221,1.253
1822,1.535,1.681,2.178,1.127,0.973,0.865,0.951,1.03,1.211,1.31,1.125,1.661
1823,1.657,1.392,1.53,1.406,0.944,1.087,0.697,1.37,1.055,1.192,1.389,2.122
1824,1.565,1.777,1.224,1.094,1.15,1.677,1.268,1.075,1.032,1.097,1.582,1.941
1825,2.21,1.411,1.29,1.129,1.149,1.421,1.12,1.077,1.054,1.127,1.78,1.267
1826,1.888,1.871,1.709,1.327,1.067,1.002,0.737,1.163,0.803,1.279,0.958,1.415
1827,1.925,1.552,1.639,1.444,1.446,1.044,0.713,1.094,1.038,1.155,1.675,1.283
1828,2.311,2.624,1.327,1.537,1.464,0.788,1.119,0.942,1.017,1.063,1.019,1.362
1829,1.778,1.674,1.439,1.817,1.424,1.244,1.019,1.352,1.073,1.127,1.306,1.713
1830,1.981,1.722,1.517,1.101,1.281,1.435,1.02,0.77,1.07,1.253,1.228,1.437
1831,2.063,2.483,1.728,1.092,1.283,1.226,0.698,0.989,1.132,1.339,1.632,1.921
1832,1.789,1.717,1.521,1.242,0.723,0.617,1.5,1.021,0.789,0.855,1.118,1.508
1833,1.838,1.517,1.934,0.903,0.86,0.727,0.915,0.879,0.833,0.801,1.69,1.849
1834,1.914,1.405,1.218,1.161,0.989,0.659,0.56,0.706,0.621,1.01,1.269,1.352
1835,1.705,1.534,1.284,1.099,1.07,0.657,0.647,0.765,0.801,1.14,1.35,1.415
1836,1.599,1.323,1.063,1.186,1.19,0.882,0.642,0.688,1.052,1.225,1.555,1.157
1837,1.848,1.7,1.535,0.981,1.435,0.727,0.71,1.069,0.78,0.832,1.304,1.315
1838,1.839,1.495,1.726,1.442,0.838,0.578,0.595,0.641,1.088,1.228,1.369,1.177
1839,1.632,1.458,1.422,0.912,0.823,0.674,0.841,0.772,1.278,1.394,1.125,1.375
1840,1.321,1.34,1.877,0.953,0.912,0.68,0.542,0.735,0.772,0.987,1.313,1.257
1841,1.88,1.682,1.341,1.396,0.744,0.755,0.648,0.726,0.704,0.885,1.029,1.148
1842,1.909,1.375,1.119,0.776,0.87,0.669,0.645,0.675,0.752,0.954,0.976,1.014
1843,1.264,1.349,1.193,0.688,0.819,0.673,0.575,0.565,0.628,0.823,0.779,1.087
1844,1.337,1.391,1.03,1.056,0.865,0.672,0.587,0.694,0.601,0.762,0.853,1.002
1845,1.235,1.374,1.023,0.701,0.741,0.594,0.677,0.647,0.717,0.833,1.028,1.219
1846,1.812,1.463,1.003,1.726,0.764,0.878,0.717,0.635,0.818,0.988,1.235,0.99
1847,1.391,1.542,1.449,0.853,0.831,0.703,0.709,0.562,0.761,0.698,0.961,0.892
1848,1.437,1.295,1.002,0.822,0.9,0.889,0.628,0.701,0.78,0.922,1.006,0.982
1849,1.284,1.336,1.332,1.194,0.79,0.94,0.965,0.698,0.886,0.965,1.148,1.058
1850,1.049,1.466,1.06,1.271,0.916,0.822,0.476,0.623,0.624,0.879,0.84,0.922
1851,1.055,1.125,0.857,0.74,0.955,0.935,0.551,0.683,0.784,1.051,0.737,1.33
1852,1.462,1.317,1.033,0.867,1.034,0.772,0.52,0.68,0.607,0.634,0.772,0.902
1853,1.238,1.125,0.945,0.654,0.744,0.61,0.588,0.525,0.473,0.981,0.783,0.797
1854,1.058,1.133,0.791,0.61,0.634,0.584,0.482,0.642,0.561,0.905,1.081,1.141
1855,1.536,1.112,0.885,0.778,0.957,0.893,0.701,0.671,0.636,0.818,0.662,0.931
1856,0.982,0.902,1.195,0.632,0.716,0.711,0.693,0.829,0.705,0.536,0.69,0.802
1857,0.975,0.909,0.83,0.781,0.688,0.536,0.595,0.627,0.663,0.704,0.664,0.788
1858,1.007,0.82,0.823,0.686,0.586,0.375,0.493,0.54,0.519,0.642,0.824,0.855
1859,1,0.891,0.745,0.525,0.467,0.358,0.518,0.588,0.622,0.549,0.509,0.877
1860,0.969,0.92,1.014,0.631,0.445,0.434,0.537,0.483,0.577,0.544,0.664,0.808
1861,1.131,0.904,0.785,0.631,0.467,0.568,0.497,0.409,0.425,0.516,0.558,0.887
1862,1.159,0.908,0.751,0.983,0.532,0.602,0.487,0.558,0.409,0.561,0.756,0.989
1863,0.944,1.052,0.686,0.669,0.59,0.399,0.519,0.512,0.504,0.458,0.666,1.091
1864,1.279,1.063,0.97,0.589,0.555,0.605,0.617,0.813,0.607,0.669,0.809,0.635
1865,0.912,0.792,0.631,0.785,0.494,0.498,0.679,0.454,0.5,0.409,0.536,0.707
1866,0.916,0.872,0.782,0.559,0.53,0.474,0.525,0.736,0.444,0.522,0.537,0.678
1867,0.922,0.853,0.639,0.684,0.497,0.41,0.466,0.539,0.451,0.643,0.96,0.947
1868,0.846,1.094,0.636,0.66,0.517,0.514,0.402,0.415,0.483,0.576,0.548,0.895
1869,1.144,1.248,0.721,0.526,0.642,0.646,0.462,0.601,0.439,0.502,0.593,0.675
1870,0.768,0.924,0.703,0.562,0.534,0.595,0.537,0.482,0.441,0.411,0.78,0.649
1871,0.784,1.032,0.619,0.422,0.574,0.414,0.521,0.48,0.552,0.608,0.634,0.623
1872,1.097,0.771,0.742,0.76,0.623,0.43,0.56,0.53,0.496,0.519,0.626,0.772
1873,0.759,0.766,0.706,0.922,0.658,0.611,0.516,0.515,0.574,0.416,0.468,0.572
1874,0.654,0.557,0.497,0.464,0.653,0.498,0.572,0.523,0.446,0.456,0.416,0.624
1875,0.572,0.531,0.553,0.429,0.402,0.343,0.38,0.469,0.474,0.413,0.419,0.507
1876,0.698,0.502,0.495,0.452,0.486,0.412,0.429,0.477,0.408,0.408,0.437,0.48
1877,0.565,0.654,0.446,0.446,0.485,0.49,0.378,0.384,0.435,0.435,0.566,0.76
1878,0.788,0.635,0.443,0.469,0.383,0.458,0.499,0.425,0.457,0.385,0.384,0.394
1879,0.496,0.612,0.498,0.396,0.486,0.658,0.469,0.482,0.38,0.483,0.37,0.412
1880,0.779,0.516,0.503,0.414,0.466,0.453,0.506,0.43,0.417,0.346,0.37,0.522
1881,0.499,0.517,0.466,0.416,0.475,0.418,0.458,0.384,0.396,0.408,0.374,0.446
1882,0.482,0.416,0.392,0.358,0.383,0.315,0.366,0.424,0.331,0.287,0.432,0.525
1883,0.412,0.472,0.309,0.363,0.366,0.316,0.399,0.38,0.381,0.286,0.403,0.414
1884,0.528,0.389,0.389,0.317,0.364,0.379,0.392,0.414,0.378,0.311,0.378,0.5
1885,0.551,0.47,0.354,0.374,0.42,0.307,0.422,0.423,0.387,0.38,0.373,0.433
1886,0.421,0.345,0.409,0.345,0.393,0.334,0.425,0.394,0.362,0.404,0.382,0.399
1887,0.444,0.394,0.352,0.334,0.36,0.327,0.407,0.406,0.307,0.266,0.333,0.393
1888,0.5,0.392,0.432,0.347,0.452,0.394,0.37,0.434,0.352,0.314,0.374,0.36
1889,0.442,0.369,0.335,0.362,0.347,0.275,0.357,0.35,0.347,0.307,0.339,0.404
1890,0.374,0.427,0.367,0.29,0.388,0.331,0.388,0.37,0.344,0.237,0.32,0.354
1891,0.392,0.441,0.288,0.299,0.369,0.302,0.343,0.36,0.286,0.244,0.331,0.363
1892,0.327,0.309,0.28,0.278,0.348,0.344,0.353,0.373,0.268,0.224,0.415,0.431
1893,0.342,0.289,0.3,0.31,0.332,0.346,0.338,0.356,0.28,0.262,0.297,0.353
1894,0.356,0.343,0.438,0.354,0.315,0.269,0.332,0.342,0.327,0.262,0.29,0.272
1895,0.262,0.309,0.29,0.284,0.358,0.306,0.349,0.354,0.278,0.227,0.257,0.287
1896,0.366,0.381,0.242,0.315,0.327,0.274,0.333,0.34,0.297,0.225,0.276,0.294
1897,0.355,0.263,0.266,0.281,0.304,0.306,0.364,0.365,0.32,0.256,0.383,0.258
1898,0.653,0.271,0.292,0.337,0.322,0.287,0.331,0.358,0.285,0.266,0.233,0.252
1899,0.288,0.321,0.277,0.306,0.301,0.277,0.331,0.399,0.291,0.252,0.244,0.262
1900,0.268,0.408,0.304,0.319,0.326,0.361,0.339,0.339,0.271,0.218,0.241,0.302
1901,0.285,0.337,0.278,0.269,0.324,0.291,0.345,0.343,0.31,0.24,0.311,0.244
1902,0.241,0.308,0.225,0.285,0.318,0.255,0.324,0.336,0.269,0.23,0.225,0.232
1903,0.275,0.222,0.271,0.322,0.315,0.247,0.317,0.331,0.295,0.209,0.213,0.303
1904,0.224,0.229,0.207,0.248,0.319,0.279,0.328,0.339,0.271,0.201,0.21,0.23
1905,0.258,0.268,0.272,0.255,0.292,0.261,0.326,0.363,0.292,0.234,0.284,0.287
1906,0.242,0.222,0.205,0.269,0.306,0.312,0.346,0.339,0.274,0.21,0.222,0.234
1907,0.276,0.228,0.193,0.294,0.288,0.275,0.325,0.339,0.273,0.214,0.225,0.225
1908,0.261,0.228,0.202,0.329,0.325,0.299,0.347,0.349,0.256,0.212,0.218,0.215
1909,0.215,0.251,0.247,0.273,0.3,0.265,0.337,0.344,0.255,0.212,0.224,0.204
1910,0.277,0.235,0.231,0.253,0.306,0.249,0.327,0.348,0.261,0.204,0.235,0.262
1911,0.231,0.23,0.205,0.254,0.308,0.261,0.321,0.326,0.26,0.19,0.212,0.207
1912,0.201,0.27,0.222,0.287,0.284,0.259,0.339,0.34,0.27,0.208,0.206,0.215
1913,0.223,0.278,0.232,0.26,0.308,0.248,0.326,0.343,0.272,0.196,0.216,0.21
1914,0.23,0.258,0.243,0.257,0.313,0.263,0.338,0.34,0.265,0.222,0.21,0.226
1915,0.222,0.237,0.222,0.254,0.302,0.263,0.326,0.345,0.26,0.183,0.197,0.2
1916,0.265,0.266,0.271,0.245,0.312,0.241,0.324,0.331,0.256,0.216,0.259,0.207
1917,0.367,0.287,0.238,0.277,0.288,0.247,0.332,0.339,0.252,0.185,0.206,0.209
1918,0.207,0.287,0.242,0.283,0.307,0.276,0.339,0.337,0.254,0.187,0.206,0.21
1919,0.219,0.281,0.245,0.27,0.295,0.296,0.332,0.337,0.261,0.19,0.211,0.217
1920,0.233,0.247,0.186,0.259,0.288,0.247,0.324,0.339,0.252,0.19,0.187,0.195
1921,0.209,0.251,0.212,0.282,0.292,0.299,0.338,0.333,0.262,0.207,0.191,0.255
1922,0.234,0.245,0.213,0.274,0.29,0.247,0.319,0.343,0.261,0.229,0.214,0.21
1923,0.207,0.231,0.203,0.291,0.304,0.248,0.339,0.337,0.265,0.192,0.206,0.231
1924,0.268,0.228,0.229,0.267,0.315,0.253,0.327,0.332,0.266,0.189,0.221,0.216
1925,0.208,0.224,0.255,0.264,0.293,0.273,0.342,0.334,0.262,0.213,0.198,0.197
1926,0.193,0.206,0.236,0.28,0.296,0.274,0.336,0.335,0.251,0.202,0.217,0.206
1927,0.205,0.249,0.251,0.281,0.302,0.241,0.325,0.336,0.261,0.204,0.2,0.202
1928,0.198,0.259,0.237,0.291,0.302,0.243,0.319,0.336,0.257,0.193,0.192,0.198
1929,0.191,0.224,0.211,0.259,0.313,0.267,0.327,0.33,0.279,0.219,0.219,0.189
1930,0.249,0.228,0.219,0.251,0.296,0.269,0.336,0.336,0.262,0.186,0.212,0.205
1931,0.211,0.209,0.191,0.248,0.297,0.245,0.322,0.33,0.263,0.2,0.191,0.204
1932,0.201,0.234,0.201,0.252,0.28,0.238,0.33,0.335,0.249,0.181,0.194,0.187
1933,0.193,0.215,0.2,0.252,0.29,0.251,0.321,0.34,0.254,0.195,0.192,0.186
1934,0.196,0.21,0.208,0.247,0.281,0.242,0.327,0.333,0.25,0.19,0.19,0.193
1935,0.199,0.219,0.228,0.254,0.285,0.25,0.323,0.324,0.25,0.187,0.206,0.217
1936,0.184,0.219,0.249,0.254,0.289,0.25,0.324,0.331,0.252,0.208,0.202,0.191
1937,0.192,0.224,0.229,0.248,0.294,0.266,0.329,0.331,0.254,0.197,0.209,0.2
1938,0.189,0.22,0.205,0.263,0.285,0.25,0.322,0.33,0.249,0.183,0.197,0.191
1939,0.188,0.195,0.203,0.249,0.28,0.242,0.316,0.331,0.247,0.181,0.201,0.188
1940,0.195,0.218,0.193,0.25,0.28,0.243,0.317,0.327,0.246,0.193,0.211,0.194
1941,0.181,0.196,0.194,0.261,0.281,0.241,0.316,0.325,0.248,0.187,0.188,0.202
1942,0.179,0.207,0.183,0.247,0.281,0.239,0.318,0.325,0.245,0.195,0.194,0.195
1943,0.191,0.202,0.184,0.243,0.278,0.242,0.321,0.323,0.244,0.18,0.199,0.208
1944,0.186,0.197,0.191,0.239,0.284,0.235,0.31,0.318,0.24,0.173,0.199,0.196
1945,0.192,0.2,0.182,0.238,0.277,0.237,0.31,0.319,0.243,0.174,0.195,0.194
1946,0.18,0.185,0.186,0.233,0.269,0.233,0.307,0.323,0.233,0.175,0.187,0.186
1947,0.19,0.188,0.176,0.231,0.268,0.24,0.302,0.317,0.233,0.173,0.186,0.18
1948,0.175,0.179,0.17,0.228,0.265,0.23,0.296,0.306,0.224,0.161,0.18,0.188
1949,0.185,0.186,0.18,0.228,0.262,0.226,0.292,0.301,0.222,0.155,0.176,0.176
1950,0.18,0.173,0.14,0.198,0.225,0.197,0.267,0.263,0.203,0.154,0.165,0.168
1951,0.154,0.16,0.144,0.208,0.227,0.208,0.291,0.255,0.232,0.184,0.198,0.17
1952,0.163,0.188,0.174,0.237,0.266,0.229,0.304,0.314,0.231,0.175,0.195,0.186
1953,0.176,0.192,0.176,0.238,0.27,0.233,0.303,0.309,0.233,0.166,0.184,0.188
1954,0.189,0.183,0.169,0.235,0.216,0.21,0.248,0.262,0.225,0.147,0.158,0.175
1955,0.145,0.109,0.112,0.151,0.206,0.166,0.199,0.238,0.152,0.112,0.184,0.145
1956,0.093,0.077,0.086,0.116,0.2,0.161,0.1,0.117,0.066,0.079,0.148,0.043
1957,0.117,0.095,0.061,0.069,0.103,0.079,0.211,0.111,0.134,0.116,0.151,0.05
1958,0.095,0.101,0.037,0.114,0.12,0.117,0.147,0.119,0.099,0.065,0.086,0.111
1959,0.14,0.078,0.051,0.126,0.061,0.077,0.099,0.065,0.107,0.092,0.098,0.135
1960,0.116,0.182,0.069,0.096,0.125,0.105,0.041,0.081,0.085,0.083,0.129,0.101
1961,0.065,0.076,0.096,0.181,0.16,0.124,0.076,0.103,0.083,0.16,0.031,0.063
1962,0.087,0.086,0.076,0.097,0.076,0.207,0.063,0.076,0.228,0.14,0.079,0.118
1963,0.109,0.065,0.074,0.185,0.076,0.133,0.08,0.062,0.171,0.086,0.097,0.075
1964,0.135,0.099,0.072,0.156,0.079,0.131,0.083,0.32,0.089,0.051,0.047,0.066
1965,0.076,0.071,0.129,0.049,0.271,0.204,0.236,0.056,0.116,0.079,0.207,0.113
1966,0.098,0.108,0.109,0.076,0.112,0.209,0.124,0.091,0.092,0.129,0.056,0.099
1967,0.091,0.141,0.063,0.096,0.139,0.092,0.075,0.116,0.066,0.073,0.068,0.073
1968,0.09,0.128,0.058,0.197,0.148,0.13,0.049,0.108,0.103,0.207,0.059,0.056
1969,0.088,0.067,0.136,0.096,0.072,0.158,0.094,0.07,0.077,0.07,0.086,0.103
1970,0.077,0.087,0.119,0.116,0.068,0.08,0.066,0.069,0.063,0.053,0.05,0.056
1971,0.068,0.081,0.061,0.081,0.101,0.084,0.075,0.072,0.109,0.06,0.056,0.067
1972,0.109,0.045,0.151,0.063,0.095,0.096,0.094,0.12,0.124,0.145,0.048,0.049
1973,0.094,0.07,0.041,0.101,0.057,0.061,0.065,0.11,0.073,0.125,0.06,0.068
1974,0.066,0.071,0.138,0.091,0.1,0.076,0.091,0.121,0.124,0.066,0.078,0.141
1975,0.096,0.099,0.065,0.102,0.089,0.163,0.13,0.135,0.092,0.084,0.023,0.077
1976,0.111,0.059,0.095,0.079,0.143,0.084,0.25,0.218,0.071,0.146,0.048,0.085
1977,0.11,0.104,0.092,0.057,0.249,0.067,0.068,0.081,0.066,0.083,0.068,0.098
1978,0.115,0.078,0.071,0.138,0.073,0.076,0.186,0.068,0.085,0.069,0.093,0.104
1979,0.081,0.089,0.097,0.091,0.109,0.111,0.059,0.049,0.071,0.112,0.083,0.05
1980,0.117,0.062,0.16,0.257,0.195,0.16,0.325,0.365,0.1,0.127,0.097,0.057
1981,0.07,0.086,0.12,0.052,0.121,0.136,0.081,0.153,0.134,0.095,0.072,0.065
1982,0.071,0.078,0.095,0.093,0.076,0.093,0.065,0.071,0.069,0.039,0.054,0.099
1983,0.055,0.075,0.058,0.056,0.075,0.062,0.087,0.097,0.109,0.09,0.101,0.075
1984,0.053,0.051,0.111,0.174,0.117,0.163,0.108,0.068,0.07,0.101,0.053,0.058
1985,0.066,0.041,0.077,0.097,0.078,0.141,0.109,0.096,0.1,0.071,0.098,0.088
1986,0.133,0.05,0.078,0.056,0.129,0.125,0.078,0.111,0.113,0.1,0.033,0.058
1987,0.078,0.045,0.056,0.069,0.055,0.082,0.078,0.116,0.098,0.06,0.057,0.056
1988,0.029,0.064,0.077,0.07,0.108,0.077,0.053,0.09,0.063,0.104,0.057,0.037
1989,0.066,0.041,0.083,0.073,0.101,0.08,0.097,0.108,0.095,0.067,0.075,0.092
1990,0.077,0.067,0.099,0.076,0.084,0.117,0.142,0.079,0.098,0.098,0.145,0.048
1991,0.064,0.066,0.1,0.056,0.063,0.057,0.113,0.069,0.079,0.074,0.068,0.062
1992,0.061,0.141,0.134,0.082,0.087,0.06,0.081,0.086,0.106,0.088,0.089,0.14
1993,0.131,0.073,0.091,0.033,0.049,0.061,0.081,0.086,0.086,0.145,0.085,0.078
1994,0.079,0.113,0.108,0.06,0.063,0.042,0.079,0.111,0.066,0.109,0.05,0.045
1995,0.073,0.064,0.078,0.053,0.067,0.118,0.075,0.088,0.086,0.09,0.08,0.071
1996,0.041,0.091,0.037,0.07,0.12,0.058,0.066,0.074,0.092,0.074,0.079,0.059
1997,0.078,0.061,0.049,0.065,0.069,0.08,0.082,0.074,0.089,0.07,0.054,0.05
1998,0.04,0.07,0.094,0.068,0.059,0.09,0.106,0.065,0.06,0.075,0.049,0.052
1999,0.059,0.086,0.09,0.059,0.071,0.123,0.062,0.07,0.058,0.118,0.058,0.08
2000,0.049,0.072,0.054,0.066,0.063,0.07,0.054,0.069,0.049,0.09,0.07,0.047
2001,0.082,0.085,0.06,0.067,0.069,0.066,0.064,0.092,0.088,0.06,0.056,0.078
2002,0.095,0.08,0.067,0.084,0.057,0.06,0.053,0.075,0.066,0.069,0.057,0.078
2003,0.07,0.041,0.073,0.046,0.108,0.051,0.049,0.079,0.038,0.085,0.081,0.061
2004,0.064,0.055,0.064,0.082,0.124,0.083,0.067,0.068,0.125,0.064,0.063,0.068
2005,0.078,0.066,0.085,0.086,0.061,0.073,0.061,0.046,0.066,0.071,0.067,0.056
2006,0.051,0.052,0.082,0.088,0.075,0.045,0.108,0.101,0.067,0.051,0.071,0.048
2007,0.071,0.104,0.071,0.127,0.084,0.076,0.044,0.089,0.103,0.088,0.076,0.067
2008,0.075,0.033,0.078,0.073,0.108,0.083,0.059,0.074,0.075,0.102,0.105,0.07
2009,0.036,0.082,0.108,0.082,0.061,0.07,0.058,0.056,0.105,0.061,0.123,0.103
2010,0.063,0.057,0.072,0.046,0.077,0.103,0.075,0.069,0.089,0.094,0.109,0.069
2011,0.069,0.076,0.04,0.039,0.121,0.077,0.076,0.114,0.09,0.082,0.104,0.111
2012,0.071,0.09,0.059,0.094,0.107,0.096,0.092,0.074,0.074,0.102,0.09,0.101
2013,0.068,0.086,0.081,0.094,0.09,0.07,0.093,0.085,0.096,0.076,0.076,0.115
2014,0.094,0.07,0.111,0.077,0.092,0.109,0.107,0.089,0.088,0.074,0.055,0.092
2015,0.106,0.069,0.05,0.074,0.084,0.053,0.079,0.079,0.098,0.064,0.055,0.085
2016,0.073,0.094,0.054,0.061,0.115,0.106,0.101,0.088,0.078,0.079,0.104,0.073
2017,0.077,0.078,0.083,0.072,0.118,0.121,0.084,0.076,0.108,0.119,0.063,0.057
2018,0.071,0.08,0.122,0.097,0.163,0.169,0.072,0.11,0.123,0.14,0.058,0.056
2019,0.08,0.069,0.076,0.093,0.089,0.1,0.083,0.077,0.114,0.122,0.104,0.101
2020,0.1,0.099,0.061,0.102,0.099,0.124,0.071,0.07,0.083,0.102,0.176,0.105
2021,0.107,0.079,0.07,0.044,0.094,0.067,0.082,0.119,0.077,0.098,0.121,0.127
2022,0.084,0.089,0.1,0.115,0.087,0.107,0.061,0.089,0.102,0.098,0.117,0.121
